id,soRef,soDat,cusCode,cusName,soTBD,soTAD,soTax,soTAT,shipTo,soComm,opnClo,spCName,spCode,qotRef,qotDat,traDate,action
2300100,2300100,6/7/2023,22310269,Flora Beauty Spa,24500,18500,925,19425,Umm Ramool Rashidiya Dubai United Arab Emirates,Caviation Laser to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098,2300112,5/26/2023,2023-5-28 15-21-42, 
2300101,2300101,5/27/2023,22310269,Flora Beauty Spa,103600,98880,4944,103824,Umm Ramool Rashidiya Dubai United Arab Emirates,SVTA Radio & VCA Laser to Flora Beauty Spa,Open,Franco Viola Parota,366,2300113,5/15/2023,2023-5-28 15-21-46, 
2300102,2300102,6/4/2023,22310093,Women's Medical Center (Dr. Ameena),5880,5420,271,5691,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),Open,Jaime  Endaya,417,2300097,5/23/2023,2023-5-28 15-21-50, 
2300103,2300103,6/10/2023,22310102,Health &amp; Aesthetic Medical Center,52080,48600,2430,51030,Buheira Corniche - Sharjah United Arab Emirates,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,Open,Jaime  Endaya,417,2300099,5/29/2023,2023-5-28 15-21-54, 
2300104,2300104,6/4/2023,22310097,Sahar Pharmacy,54320,50590,2530,53120,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365,2300098,5/23/2023,2023-5-28 15-21-59, 
2300105,2300105,6/18/2023,22310029,Al Jameya Pharmacy,21700,18000,900,18900,Union Cooperative Society  Ghusais,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300116,6/6/2023,2023-5-28 15-22-4, 
2300106,2300106,6/7/2023,22310439,NAS Medical,109200,88200,4410,92610,Dubai United Arab Emirates,Hydra Fresh,Open,Ariel Abapo Naciogoyo,370,2300115,5/26/2023,2023-5-28 15-22-9, 
2300107,2300107,6/7/2023,22310207,Delta Pharmacy,79200,72000,3600,75600,Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,Open,Raj Kumar Giri,981,2300109,5/26/2023,2023-5-28 15-22-13, 
2300108,2300108,7/9/2023,22310055,Al Noor Pharmacy,9240,8580,429,9009,Mina,SVTA Radio Hand Pice 1 to Al Noor Pharmacy,Open,Allen Joseph Anora,365,2300119,6/27/2023,2023-5-28 15-22-17, 
2300109,2300109,5/31/2023,22310131,Ali Bin Ali Medical,40600,35900,1795,37695,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329,2300101,5/19/2023,2023-5-28 15-22-21, 
2300110,2300110,6/11/2023,22310133,Al Samnan Clinic,42000,38520,1926,40446,Al Wasit Street Samnan Sharjah United Arab Emirates,Hydra-new and Jumia to Al Samnan Clinic,Open,Franco Viola Parota,366,2300104,5/30/2023,2023-5-28 15-22-25, 
2300111,2300111,6/27/2023,22310097,Sahar Pharmacy,53200,45200,2260,47460,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Mickcara & My Ultrasonic to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300122,6/15/2023,2023-5-28 15-22-28, 
2300112,2300112,5/17/2023,22310131,Ali Bin Ali Medical,38360,37070,1854,38924,Doha Qatar,"SVTA Radio and Hand Pice 1, 2, 3 , 4, 5 to Ali Bin Ali Medical",Open,Jalil Khadim Hussain,1008,2300102,5/5/2023,2023-5-28 15-22-35, 
2300113,2300113,7/8/2023,22310131,Ali Bin Ali Medical,6300,5950,298,6248,Doha Qatar,DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418,2300125,6/26/2023,2023-5-28 15-22-39, 
2300114,2300114,6/11/2023,22310182,Spaces Spa Center,36190,31275,1564,32839,Oasis Center Dubai United Arab Emirates,Microneedling RF & HandPiece to Spaces Spa Center,Open,Jinu Ambadan Jose,709,2300105,5/30/2023,2023-5-28 15-22-44, 
2300115,2300115,6/10/2023,22310131,Ali Bin Ali Medical,9100,6800,340,7140,Doha Qatar,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418,2300100,5/29/2023,2023-5-28 15-22-49, 
2300116,2300116,7/8/2023,22310200,German Clinic FZ LLC,69300,59850,2993,62843,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Caviation Laser & Crio Lipo to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300128,6/26/2023,2023-5-28 15-22-54, 
2300117,2300117,6/7/2023,22310252,Faith Pharmacy,2100,1800,90,1890,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,DeodLeaser Hand Piece to Faith Pharmacy,Open,Jalil Khadim Hussain,1008,2300111,5/26/2023,2023-5-28 15-23-1, 
2300118,2300118,6/26/2023,22310207,Delta Pharmacy,81900,78000,3900,81900,Sharjah United Arab Emirates,RF Fractional CO2 Laser to Delta Pharmacy,Open,Raj Kumar Giri,981,2300130,6/14/2023,2023-5-28 15-23-5, 
2300119,2300119,6/26/2023,22310200,German Clinic FZ LLC,79200,65800,3290,69090,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,VCA Laser to VCA Leaser Hand Piece to German Clinic FZ LLC,Open,Dev Kumar Rai,894,2300129,6/14/2023,2023-5-28 15-23-10, 
2300120,2300120,7/7/2023,22310210,Al Burg Clinic,67655,62015,3101,65116,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Microneedling RF & Microneedling RF - HandPiece to Al Burg Clinic,Open,Michael Cadiang Manza,994,2300131,6/25/2023,2023-5-28 15-23-14, 
2300121,2300121,7/7/2023,22310210,Al Burg Clinic,9940,9600,480,10080,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 4 & 5,Open,Michael Cadiang Manza,994,2300132,6/25/2023,2023-5-28 15-23-19, 
2300122,2300122,5/27/2023,22310280,Gulf Beauty Salon - Abu Dhabi,142800,133200,6660,139860,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300114,5/15/2023,2023-5-28 15-23-25, 
2300123,2300123,6/23/2023,22310269,Flora Beauty Spa,35000,31300,1565,32865,Umm Ramool Rashidiya Dubai United Arab Emirates,DeodLeaser & DeodLeaser Hand Piece to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098,2300134,6/11/2023,2023-5-28 15-23-30, 
2300124,2300124,6/23/2023,22310252,Faith Pharmacy,10360,8970,449,9419,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,SVTA Radio Hand Pice 7 & 8 to Faith Pharmacy,Open,Jalil Khadim Hussain,1008,2300133,6/11/2023,2023-5-28 15-23-34, 
2300125,2300125,6/26/2023,22310280,Gulf Beauty Salon - Abu Dhabi,71120,63120,3156,66276,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,SVTA Radio and hand piece to  Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300136,6/14/2023,2023-5-28 15-23-40, 
2300126,2300126,6/26/2023,22310280,Gulf Beauty Salon - Abu Dhabi,18200,15000,750,15750,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,My Ultrasonic & SPA Slim to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300135,6/14/2023,2023-5-28 15-23-44, 
2300127,2300127,7/22/2023,22310055,Al Noor Pharmacy,14700,14180,709,14889,Mina,Mina,Open,Tampos Antonio Magalona,415,2300138,7/10/2023,2023-5-28 15-23-47, 
2300128,2300128,7/15/2023,22310093,Women's Medical Center (Dr. Ameena),97300,94100,4705,98805,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,Open,Franco Viola Parota,366,2300139,7/3/2023,2023-5-28 15-23-52, 
2300129,2300129,7/15/2023,22310097,Sahar Pharmacy,65800,64045,3202,67247,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300140,7/3/2023,2023-5-28 15-23-56, 
2300130,2300130,7/16/2023,22310102,Health & Aesthetic Medical Center,36190,33075,1654,34729,Buheira Corniche - Sharjah United Arab Emirates,Buheira Corniche - Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300141,7/4/2023,2023-5-28 15-24-1, 
2300131,2300131,8/3/2023,22310133,Al Samnan Clinic,35840,32110,1606,33716,Al Wasit Street Samnan Sharjah United Arab Emirates,Al Wasit Street Samnan Sharjah United Arab Emirates,Open,Allen Joseph Anora,365,2300143,7/22/2023,2023-5-28 15-24-5, 
2300132,2300132,5/21/2023,22310133,Al Samnan Clinic,21000,18360,918,19278,Al Wasit Street Samnan Sharjah United Arab Emirates,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,Open,Allen Madrid Gomez,598,2300103,5/9/2023,2023-5-28 15-24-12, 
2300133,2300133,7/4/2023,22310029,Al Jameya Pharmacy,64400,59000,2950,61950,Union Cooperative Society  Ghusais,Jumia and Konmision to Al Jameya Pharmacy,Open,Lucero Jackson Riconose,418,2300117,6/22/2023,2023-5-28 15-24-16, 
2300134,2300134,6/17/2023,22310055,Al Noor Pharmacy,59780,49700,2485,52185,Mina,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300118,6/5/2023,2023-5-28 15-24-21, 
2300135,2300135,7/9/2023,22310093,Women's Medical Center (Dr. Ameena),13440,12680,634,13314,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SPA Slim & SVTA Radio Hand Pice 1 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300120,6/27/2023,2023-5-28 15-24-25, 
2300136,2300136,7/9/2023,22310093,Women's Medical Center (Dr. Ameena),7560,6460,323,6783,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,SVTA Radio Hand Pice 3 & 4 to Women's Medical Center (Dr. Ameena),Open,Ariel Abapo Naciogoyo,370,2300121,6/27/2023,2023-5-28 15-24-30, 
2300137,2300137,7/8/2023,22310097,Sahar Pharmacy,79200,72000,3600,75600,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300123,6/26/2023,2023-5-28 15-24-36, 
2300138,2300138,7/8/2023,22310102,Health &amp; Aesthetic Medical Center,119200,105500,5275,110775,Buheira Corniche - Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Health &amp; Aesthetic Medical Center,Open,Sanjay Kumar Mandal,329,2300124,6/26/2023,2023-5-28 15-24-40, 
2300139,2300139,7/8/2023,22310133,Al Samnan Clinic,9800,7200,360,7560,Al Wasit Street Samnan Sharjah United Arab Emirates,My Ultrasonic to Al Samnan Clinic,Open,Allen Madrid Gomez,598,2300126,6/26/2023,2023-5-28 15-24-45, 
2300140,2300140,7/8/2023,22310182,Spaces Spa Center,133000,108600,5430,114030,Oasis Center Dubai United Arab Emirates,Hydra Fresh & Hydra-new & Jumia to Spaces Spa Center,Open,Jinu Ambadan Jose,709,2300127,6/26/2023,2023-5-28 15-24-50, 
2300141,2300141,7/13/2023,22310029,Al Jameya Pharmacy,63665,57650,2883,60533,Union Cooperative Society  Ghusais,Union Cooperative Society  Ghusais,Open,Allen Joseph Anora,365,2300137,7/1/2023,2023-5-28 15-24-54, 
2300142,2300142,7/16/2023,22310210,Al Burg Clinic,40180,38890,1945,40835,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,Open,Jalil Khadim Hussain,1008,2300147,7/4/2023,2023-5-28 15-25-1, 
2300143,2300143,8/10/2023,22310280,Gulf Beauty Salon - Abu Dhabi,40915,36000,1800,37800,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,Open,Jinu Ambadan Jose,709,2300150,7/29/2023,2023-5-28 15-25-6, 
2300144,2300144,7/23/2023,22310286,Hamad Pharmacy,13440,12780,639,13419,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Al Wasit Street Al Shaba Sharjah United Arab Emirates,Open,Ariel Abapo Naciogoyo,370,2300151,7/11/2023,2023-5-28 15-25-14, 
2300145,2300145,8/9/2023,22310200,German Clinic FZ LLC,16100,13800,690,14490,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Al Razi Bldg.#64 District 1 block A 2nd floor 2008 - DHCC Dubai U,Open,Lucero Jackson Riconose,418,2300145,7/28/2023,2023-5-28 15-25-19, 
2300146,2300146,8/10/2023,22310269,Flora Beauty Spa,58800,55320,2766,58086,Umm Ramool Rashidiya Dubai United Arab Emirates,Umm Ramool Rashidiya Dubai United Arab Emirates,Open,Franco Viola Parota,366,2300149,7/29/2023,2023-5-28 15-25-25, 
2300147,2300147,8/6/2023,22310436,NADA Pharmacy,11480,9480,474,9954,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Michael Cadiang Manza,994,2300155,7/25/2023,2023-5-28 15-25-30, 
2300148,2300148,7/26/2023,22310646,American Hospital Dubai LLC,64400,59680,2984,62664,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Oud Metha Road Besides Our Own Model School Bur Dubai Dubai Unite,Open,Franco Viola Parota,366,2300158,7/14/2023,2023-5-28 15-25-35, 
2300149,2300149,7/30/2023,22310207,Delta Pharmacy,46900,42200,2110,44310,Sharjah United Arab Emirates,Sharjah United Arab Emirates,Open,Sanjay Kumar Mandal,329,2300146,7/18/2023,2023-5-28 15-25-47, 
2300150,2300150,8/6/2023,22310580,Al Qaser Medical Center,24500,18500,925,19425,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Next to Millenium Hotel Al Buhairah Sharjah United Arab Emirates,Open,Joyson Joseph Kalaparambath,1098,2300157,7/25/2023,2023-5-28 15-25-52, 
2300151,2300151,8/16/2023,22310802,Elite Medical Centre,53480,43400,2170,45570,Jumeirah 1 Beach Road Dubai United Arab Emirates,Jumeirah 1 Beach Road Dubai United Arab Emirates,Open,Franco Viola Parota,366,2300163,8/4/2023,2023-5-28 15-25-57, 
2300152,2300152,9/2/2023,22310789,Al Sharq Hospital,64400,59000,2950,61950,Fujairah United Arab Emirates,Fujairah United Arab Emirates,Open,Lucero Jackson Riconose,418,2300162,8/21/2023,2023-5-28 15-26-2, 
2300153,2300153,9/7/2023,22310807,Aesthetica Clinic LLC,15540,14880,744,15624,Al Hamrain Center Dubai United Arab Emirates,Al Hamrain Center Dubai United Arab Emirates,Open,Allen Joseph Anora,365,2300164,8/26/2023,2023-5-28 15-26-6, 
2300154,2300154,8/17/2023,22310776,Mafraq Hospital,39200,35500,1775,37275,P.O. 2951 Abu Dhabi - United Arab Emirates,P.O. 2951 Abu Dhabi - United Arab Emirates,Open,Allen Joseph Anora,365,2300161,8/5/2023,2023-5-28 15-26-12, 
2300155,2300155,9/7/2023,22310873,Sera Beauty Lounge,13160,12060,603,12663,Business Central Tower Media City Dubai United Arab Emriates,Business Central Tower Media City Dubai United Arab Emriates,Open,Ariel Abapo Naciogoyo,370,2300166,8/26/2023,2023-5-28 15-26-16, 
2300156,2300156,8/26/2023,22310888,Heavenly Spa,63000,55000,2750,57750,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Dora Bay G Level Opposite Sheraton - JBR Dubai United Arab Emirate,Open,Tampos Antonio Magalona,415,2300167,8/14/2023,2023-5-28 15-26-26, 
2300157,2300157,9/7/2023,22310827,Al Soor Pharmacy LLC,25200,24440,1222,25662,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Al Soor Area opposite King Faisal Area Mosque Sharjah United Arab E,Open,Ariel Abapo Naciogoyo,370,2300165,8/26/2023,2023-5-28 15-26-36, 
2300158,2300158,9/6/2023,22311027,Visage Pharmacy,119200,105500,5275,110775,Corniche Road Abudhabi,Corniche Road Abudhabi,Open,Sanjay Kumar Mandal,329,2300169,8/25/2023,2023-5-28 15-26-40, 
2300159,2300159,9/6/2023,22311052,Top Medical Group,10500,10150,508,10658,Dubai,Dubai,Open,Lucero Jackson Riconose,418,2300170,8/25/2023,2023-5-28 15-26-43, 
2300160,2300160,9/6/2023,22311066,American European Medical Center,19600,17000,850,17850,American European Medical Center-Abudhabi,American European Medical Center-Abudhabi,Open,Allen Madrid Gomez,598,2300171,8/25/2023,2023-5-28 15-26-48, 
2300161,2300161,9/6/2023,22311134,Al Dar Medical Center,133000,108600,5430,114030,FujirahkhorfkanCornish area,FujirahkhorfkanCornish area,Open,Jinu Ambadan Jose,709,2300172,8/25/2023,2023-5-28 15-26-53, 
2300162,2300162,9/6/2023,22311163,Health Point Hospital LLC,74900,65450,3273,68723,Zayed Sports City Airportroad Abudhabi,Zayed Sports City Airportroad Abudhabi,Open,Dev Kumar Rai,894,2300173,8/25/2023,2023-5-28 15-27-2, 
2300163,2300163,9/6/2023,22310916,Alexandria Pharmacy,79200,72000,3600,75600,Nahda 2 Dubai United Arab Emirates,Nahda 2 Dubai United Arab Emirates,Open,Tampos Antonio Magalona,415,2300168,8/25/2023,2023-5-28 15-27-6, 
2300164,2300164,8/25/2023,22311242,ICON CLINIC LLC,79200,65800,3290,69090,Dr. Abeer Sawwaf Abudhabi,Dr. Abeer Sawwaf Abudhabi,Open,Dev Kumar Rai,894,2300174,8/13/2023,2023-5-28 15-27-10, 
2300165,2300165,9/5/2023,22311664,Unicare Clinic,45640,40000,2000,42000,23 North Wing BurJuman Centre Sheik Khalifa Bin,23 North Wing BurJuman Centre Sheik Khalifa Bin,Open,Michael Cadiang Manza,994,2300176,8/24/2023,2023-5-28 15-27-14, 
2300166,2300166,8/25/2023,22311663,Zulekha Hospital LLC,81900,78000,3900,81900,"Al Qusais road,","Al Qusais road,",Open,Raj Kumar Giri,981,2300175,8/13/2023,2023-5-28 15-27-18, 
2300167,2300167,9/5/2023,22311809,Carmen Beauty Salon,9940,9600,480,10080,"khalidiya street,","khalidiya street,",Open,Michael Cadiang Manza,994,2300177,8/24/2023,2023-5-28 15-27-22, 
2300168,2300168,8/22/2023,22311863,Beverly Hills Speciality Center LLC,37100,33400,1670,35070,"Al walid Khalid Bin Khadim Bldg,","Al walid Khalid Bin Khadim Bldg,",Open,Joyson Joseph Kalaparambath,1098,2300179,8/10/2023,2023-5-28 15-27-26, 
2300169,2300169,8/25/2023,22311998,Acacia Medical Center,75740,67740,3387,71127,"Villa No 15, Al Karamah Street","Villa No 15, Al Karamah Street",Open,Jessie Tolntion Matitu,1138,2300181,8/13/2023,2023-5-28 15-27-30, 
2300170,2300170,8/25/2023,22311988,Glamour Care Clinics LLC,26600,23400,1170,24570,"Villa 813, Jumeirah Beach Road,","Villa 813, Jumeirah Beach Road,",Open,Jessie Tolntion Matitu,1138,2300180,8/13/2023,2023-5-28 15-27-34, 
2300171,2300171,9/11/2023,22310029,Al Jameya Pharmacy,84455,78440,3922,82362,Union Cooperative Society  Ghusais,Microneedling RF and RF Fractional Laser to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300182,8/30/2023,2023-5-28 15-27-38, 
2300172,2300172,9/20/2023,22310097,Sahar Pharmacy,16800,16280,814,17094,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,RF Fractional CO2 Laser Handpiece and Accessories to Sahar Pharmacy,Open,Tampos Antonio Magalona,415,2300183,9/8/2023,2023-5-28 15-27-42, 
2300173,2300173,8/6/2023,22310747,Marjan Beauty Saloon JLT,119000,98000,4900,102900,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Shop# 6 Saba Tower 1 Jumeirah Lakes Towers Dubai United Arab Emir,Open,Ariel Abapo Naciogoyo,370,2300160,7/25/2023,2023-5-28 15-27-48, 
2300174,2300174,9/13/2023,22310029,Al Jameya Pharmacy,75600,73845,3692,77537,Union Cooperative Society  Ghusais,Deod Leaserto Al Jameya Pharmacy,Open,Ariel Abapo Naciogoyo,370,2300185,9/1/2023,2023-5-28 15-27-53, 
2300175,2300175,9/13/2023,22310055,Al Noor Pharmacy,97300,94100,4705,98805,Mina,RF Fractional CO2 Laser and Handpiece to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300184,9/1/2023,2023-5-28 15-28-1, 
2300176,2300176,8/3/2023,22310131,Ali Bin Ali Medical,18060,17600,880,18480,Doha Qatar,Doha Qatar,Open,Jaime  Endaya,417,2300142,7/22/2023,2023-5-28 15-28-6, 
2300177,2300177,7/20/2023,22310252,Faith Pharmacy,23800,21160,1058,22218,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,Open,Allen Madrid Gomez,598,2300148,7/8/2023,2023-5-28 15-28-10, 
2300178,2300178,8/9/2023,22310182,Spaces Spa Center,31920,28440,1422,29862,Oasis Center Dubai United Arab Emirates,Oasis Center Dubai United Arab Emirates,Open,Jaime  Endaya,417,2300144,7/28/2023,2023-5-28 15-28-15, 
2300179,2300179,7/26/2023,22310701,Grace Medical Centre,145600,136000,6800,142800,26th street Abu Dhabi United Arab Emirates,26th street Abu Dhabi United Arab Emirates,Open,Jessie Tolntion Matitu,1138,2300159,7/14/2023,2023-5-28 15-28-19, 
2300180,2300180,9/28/2023,22310131,Ali Bin Ali Medical,77000,72300,3615,75915,Doha Qatar,Crio Lipo & DeodLeaser Hand Piece to Ali Bin Ali Medical,Open,Sanjay Kumar Mandal,329,2300191,9/16/2023,2023-5-28 15-28-24, 
2300181,2300181,8/6/2023,22310341,Kaya Trading,9380,7180,359,7539,"LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.","LEASED OFFICE BLDG 13 OFFICE, HAMRIYAH FREE ZONE-SHARJAH, UNITED ARAB EMIRATES.",Open,Dev Kumar Rai,894,2300153,7/25/2023,2023-5-28 15-28-28, 
2300182,2300182,9/18/2023,22310133,Al Samnan Clinic,36400,33760,1688,35448,Al Wasit Street Samnan Sharjah United Arab Emirates,Deod Leaser and G5 Slimming Applicators to Al Samnan Clinic,Open,Allen Madrid Gomez,598,2300193,9/6/2023,2023-5-28 15-28-32, 
2300183,2300183,10/9/2023,22310182,Spaces Spa Center,45640,40725,2036,42761,Oasis Center Dubai United Arab Emirates,Microneedling RF & HandPiece to Spaces Spa Center,Open,Jinu Ambadan Jose,709,2300195,9/27/2023,2023-5-28 15-28-36, 
2300184,2300184,9/21/2023,22310182,Spaces Spa Center,5880,5220,261,5481,Oasis Center Dubai United Arab Emirates,SVTA Radio Hand Pice 1 to Spaces Spa Center,Open,Ariel Abapo Naciogoyo,370,2300196,9/9/2023,2023-5-28 15-28-40, 
2300185,2300185,10/8/2023,22310131,Ali Bin Ali Medical,23800,21500,1075,22575,Doha Qatar,RF Fractional CO2 Laser - Handpiece to Ali Bin Ali Medical,Open,Lucero Jackson Riconose,418,2300190,9/26/2023,2023-5-28 15-28-45, 
2300186,2300186,10/2/2023,22310097,Sahar Pharmacy,60760,57030,2852,59882,Qasimia - behind Al Dewan Al Amere Sharjah United Arab Emirates,SVTA Radio and Hand Pice 7 & 8 Sahar Pharmacy,Open,Allen Joseph Anora,365,2300188,9/20/2023,2023-5-28 15-28-49, 
2300187,2300187,10/8/2023,22310102,Health &amp; Aesthetic Medical Center,28560,25080,1254,26334,Buheira Corniche - Sharjah United Arab Emirates,SVTA Radio and Hand Piece to Health &amp; Aesthetic Medical Center,Open,Jaime  Endaya,417,2300189,9/26/2023,2023-5-28 15-28-53, 
2300188,2300188,10/5/2023,22310207,Delta Pharmacy,79200,72000,3600,75600,Sharjah United Arab Emirates,VCA Laser & VCA Leaser Hand Piece to Delta Pharmacy,Open,Raj Kumar Giri,981,2300199,9/23/2023,2023-5-28 15-28-58, 
2300189,2300189,10/5/2023,22310252,Faith Pharmacy,6300,6000,300,6300,Naif Road Near Al Futtaim Mosque Deira Dubai United Arab Emirates,DeodLeaser Hand Piece to Faith Pharmacy,Open,Jalil Khadim Hussain,1008,2300201,9/23/2023,2023-5-28 15-29-5, 
2300190,2300190,10/5/2023,22310269,Flora Beauty Spa,24500,18500,925,19425,Umm Ramool Rashidiya Dubai United Arab Emirates,Caviation Laser to Flora Beauty Spa,Open,Joyson Joseph Kalaparambath,1098,2300202,9/23/2023,2023-5-28 15-29-9, 
2300191,2300191,10/5/2023,22310210,Al Burg Clinic,9100,7100,355,7455,Entrance 3  1st Floor Al Mazaya Center Dubai United Arab Emirates,SVTA Radio Hand Pice 5 & 6 to Al Burg Clinic,Open,Michael Cadiang Manza,994,2300200,9/23/2023,2023-5-28 15-29-13, 
2300192,2300192,9/24/2023,22310269,Flora Beauty Spa,64400,59680,2984,62664,Umm Ramool Rashidiya Dubai United Arab Emirates,SVTA Radio & VCA Laser to Flora Beauty Spa,Open,Franco Viola Parota,366,2300203,9/12/2023,2023-5-28 15-29-17, 
2300193,2300193,10/5/2023,22310439,NAS Medical,128800,107800,5390,113190,Dubai United Arab Emirates,Hydra Fresh,Open,Ariel Abapo Naciogoyo,370,2300205,9/23/2023,2023-5-28 15-29-21, 
2300194,2300194,9/24/2023,22310280,Gulf Beauty Salon - Abu Dhabi,148400,138800,6940,145740,Near Salam Furniture Old Airport Road Abu Dhabi United Arab Emirat,G5 Slimming & Hiemt A to Gulf Beauty Salon - Abu Dhabi,Open,Jessie Tolntion Matitu,1138,2300204,9/12/2023,2023-5-28 15-29-25, 
2300195,2300195,10/16/2023,22310029,Al Jameya Pharmacy,39200,35500,1775,37275,Union Cooperative Society  Ghusais,DeodLeaser & DeodLeaser Hand Piece to Al Jameya Pharmacy,Open,Allen Joseph Anora,365,2300206,10/4/2023,2023-5-28 15-29-31, 
2300196,2300196,10/15/2023,22310055,Al Noor Pharmacy,106960,96880,4844,101724,Mina,Portable Diode Laser Hair Removal Equipment to Al Noor Pharmacy,Open,Franco Viola Parota,366,2300208,10/3/2023,2023-5-28 15-29-35, 
2300197,2300197,11/1/2023,22310029,Al Jameya Pharmacy,64400,59000,2950,61950,Union Cooperative Society  Ghusais,Jumia and Konmision to Al Jameya Pharmacy,Open,Lucero Jackson Riconose,418,2300207,10/20/2023,2023-5-28 15-29-39, 
2300198,2300198,10/2/2023,22310093,Women's Medical Center (Dr. Ameena),8120,7660,383,8043,1st Floor Office No. 7 Al Mamzar Center Near Al Mulla Plaza Dubai,VTA Radio Hand Pice 4 and 5 Women's Medical Center (Dr. Ameena),Open,Jaime  Endaya,417,2300187,9/20/2023,2023-5-28 15-29-46, 
2300199,2300199,8/6/2023,22310298,HANI Pharmacy Abu Dhabi,42700,38000,1900,39900,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Hamdah Street Near Standard Chartered Bank Abu Dhabi,Open,Dev Kumar Rai,894,2300152,7/25/2023,2023-5-28 15-29-50, 
2300200,2300200,8/6/2023,22310359,Life Pharmacy LLC,79200,72000,3600,75600,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Mall of Emirates bridge turn left towards Lulu Hypermarket  left side,Open,Raj Kumar Giri,981,2300154,7/25/2023,2023-5-28 15-29-54, 
